,COD_RH,                 AUTOR,                TITULO,                AÑO,                LUGAR,                REVISTA,                EDITORIAL,                ISSN,Unnamed: 8,Cuartil,Publindex
29,0000301167,Marco Aurelio Alzate Monroy,Achievable Transmission Rate in an IEEE 802.11 MANET Link,2012,Colombia,Revista Facultad de Ingenieria,Editorial Universidad de Antioquia,01206230,,Q3,No Clasificado
30,0000301167,Marco Aurelio Alzate Monroy,Control de Admisión para Redes Móviles Ad Hoc con base en estimación de ancho de banda disponible,2011,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,0123921X,,No Clasificado,No Clasificado
31,0000301167,Marco Aurelio Alzate Monroy,A Game Theoretic Trust Model for On-Line Distributed Evolution of Cooperation in MANETs,2011,Estados Unidos,Journal of Network and Computer Applications,Academic Press LtdElsevier Science Ltd,10848045,,Q1,No Clasificado
32,0000301167,Marco Aurelio Alzate Monroy,Exact Statistics of a Complex Markov Chain through State Reduction,2010,Brasil,IEEE Latin America Transactions,Institute of Electrical and Electronics Engineers,15480992,,Q3,No Clasificado
33,0000301167,Marco Aurelio Alzate Monroy,Segmentation of Aggregate and Asphalt in Photographic Images of Pavements,2021,,Engineering Transactions,Institute of Fundamental Technological Research,0867888X,,Q3,No Clasificado
34,0000301167,Marco Aurelio Alzate Monroy,Clasificación de formas patológicas de eritrocitos humanos,2016,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
35,0000301167,Marco Aurelio Alzate Monroy,Clasificación automática de glóbulos rojos en frotis de sangre periférica,2016,Colombia,Revista de la Universidad Industrial de Santander Salud,Escuela De Historia Publicaciones Uis,01210807,,No Clasificado,No Clasificado
36,0000301167,Marco Aurelio Alzate Monroy,Segmentación de imágenes de células cervicales y evaluación de características para detección de lesiones neoplásicas,2016,Chile,Ingeniare,Departamento De Computacion Universidad De Tarapaca,07183305,,Q4,No Clasificado
37,0000301167,Marco Aurelio Alzate Monroy,Hidden complexity in Life-like rules,2019,Estados Unidos,"Physical Review E, Statistical, Nonlinear, And Soft Matter Physics",The American Physical Society,15393755,,No Clasificado,No Clasificado
38,0000218405,Lilia Edith APARICIO PICO,Images compression process in the radiological service unit as an infrastructure component in the Colombian health model,2015,Colombia,Tecciencia,,19093667,,No Clasificado,No Clasificado
39,0000218405,Lilia Edith APARICIO PICO,Information System for Health Management of Patients on Public Hospitals in Bogotá City,2004,Argentina,Technology and Health Care,IOS Press,09287329,,Q4,No Clasificado
40,0000218405,Lilia Edith APARICIO PICO,Error en transmisión de datos de señal ECG comprimida empleado cuantificacion vectorial,2000,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
41,0000218405,Lilia Edith APARICIO PICO,Transmisión de datos de señal ecg comprimida sobre redes de datos urbanas,2002,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
42,0000218405,Lilia Edith APARICIO PICO,Ruido no Convencional por Canal Telefónico,1999,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
43,0000218405,Lilia Edith APARICIO PICO,"Señal ECG, tratada mediante VQ-VMF",1998,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
44,0000218405,Lilia Edith APARICIO PICO,"Calidad en la educación, Primero Unificar Criterios",1998,Colombia,Computerworld Colombia,,01222961,,No Clasificado,No Clasificado
45,0000218405,Lilia Edith APARICIO PICO,Entropia en VQ-VWF de señal ECG,2000,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
46,0000218405,Lilia Edith APARICIO PICO,"La Especialización, un Escalafón para la Solución de Problemas",1997,Colombia,Computerworld Colombia,,01222961,,No Clasificado,No Clasificado
47,0000218405,Lilia Edith APARICIO PICO,Módulo de adquisición de señal ECG para telecardiología,2003,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
48,0000218405,Lilia Edith APARICIO PICO,Red Urbana de Telemedicina para Bogotá,2003,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
49,0000218405,Lilia Edith APARICIO PICO,Sistema de Gestiónde Salud para el Distrito Capital,2003,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
50,0000218405,Lilia Edith APARICIO PICO,Telecerdiology System using Compressed and Protected Signals,2004,Argentina,Technology and Health Care,IOS Press,09287329,,Q4,No Clasificado
51,0000218405,Lilia Edith APARICIO PICO,Plataforma de Sofware para control de errores en un sistema de Telecardiología,2004,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
52,0000218405,Lilia Edith APARICIO PICO,Elementos de Diagnóstico para desarrollo del Sistema de Gestión de Servicios en Hospitales de la zona centro-oriente en Bogotá,2004,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
53,0000218405,Lilia Edith APARICIO PICO,Modelo de Gestión de Conocimiento para la Implementación de Teleconsulta en Telemedicina,2007,Colombia,Gerencia Tecnologica Informatica  Gti,Division Editorial Y Publicaciones Universidad Industrial De Santander,16578236,,No Clasificado,No Clasificado
54,0000218405,Lilia Edith APARICIO PICO,Design and simulation of an attitude determination system based on the Extended Kalman Filter for Cube-Sat Colombia I,2014,Colombia,Revista Facultad de Ingenieria,Editorial Universidad de Antioquia,01206230,,Q3,No Clasificado
55,0000218405,Lilia Edith APARICIO PICO,Transmision de datos de señal ecg comprimida empleando cuantificacion vectorial,2002,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
56,0000218405,Lilia Edith APARICIO PICO,Telemedicine and e-health security for clinical records,2010,Colombia,Telemedicine Journal and eHealth,"Mary Ann Liebert, Inc",15305627,,Q1,No Clasificado
57,0000218405,Lilia Edith APARICIO PICO,NTP un protocolo de internet para considerar,2004,Colombia,Revista De La Escuela Colombiana De Ingeniería,Editorial Escuela Colombiana de Ingeniería,01215132,,No Clasificado,No Clasificado
58,0000218405,Lilia Edith APARICIO PICO,Estrategias para desrrollo de satelites en colombia,2008,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
59,0000218405,Lilia Edith APARICIO PICO,Efectos de los telefonos celulares en el cuerpo humano,2004,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,0123921X,,No Clasificado,No Clasificado
60,0000218405,Lilia Edith APARICIO PICO,Prototipo para la evaluacion de calidad de servicio mediante tecnicas de encolamiento en ambientes backbone,2006,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
61,0000218405,Lilia Edith APARICIO PICO,Knowledge Management Model for Teleconsulting in Telemedicine,2008,Colombia,Studies in Health Technology and Informatics,IOS Press,09269630,,Q3,No Clasificado
62,0000218405,Lilia Edith APARICIO PICO,Implementacion del sistema de control de actitud para el picosatelite CUBESAT-UD,2009,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
63,0000218405,Lilia Edith APARICIO PICO,Sistema que gestiona el control y flujo de pacientes en D.C.,2003,Colombia,Colombia Ciencia Y Tecnología,Colciencias,01205595,,No Clasificado,No Clasificado
64,0000218405,Lilia Edith APARICIO PICO,Propuetas de estudio para red de telemedicina de Bogotà,2000,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
65,0000218405,Lilia Edith APARICIO PICO,Aportes que que perduran enla Facultad de Ingenierìa de la Universidad Distrital,1999,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
66,0000218405,Lilia Edith APARICIO PICO,Desarrollo de un sistema de compresion de señales electrocardiograficas para su implementacion en el picosatelite cubesat-UD Colombia 1,2010,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
67,0000218405,Lilia Edith APARICIO PICO,Cubeas-UD Telemedicine and telemetry technical training,2012,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
68,0000218405,Lilia Edith APARICIO PICO,Subchasis de integracion modular para el despliegue de antenas en un cubesat,2013,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,0123921X,,No Clasificado,No Clasificado
69,0000218405,Lilia Edith APARICIO PICO,Implementacion del software de codificacion de canal en el marco del proyecto CUBESAT-UD,2009,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
70,0000218405,Lilia Edith APARICIO PICO,Telecardiologyu data compression and error control system,2003,Australia,"Ifmbe Proceeding, Iv Latin American Congress On Biomedical Engineering 2007",,17271983,,No Clasificado,No Clasificado
71,0000218405,Lilia Edith APARICIO PICO,Determinaciond el tamaño optimo en una trama en AX.25 para sistemas satelitales,2008,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
72,0000218405,Lilia Edith APARICIO PICO,Diagnostico en hospitales de la zona sur de Bogotà para desarrollar un sistema de referencia y contrarreferencia,2004,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
73,0000218405,Lilia Edith APARICIO PICO,Tecnologias de la Información para el diagnóstico a distancia,2012,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,0123921X,,No Clasificado,No Clasificado
74,0000218405,Lilia Edith APARICIO PICO,Doctorado en Ciencias Técnicas una oportunidad para la investigacion en la Facultad de Ingenierìa,1998,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
75,0000218405,Lilia Edith APARICIO PICO,Transmision d Información de señal ecg comprimida mediante cuantificacion vectorial,2002,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
76,0000218405,Lilia Edith APARICIO PICO,Management system for public hospitals in Bogotá City,2008,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
77,0000218405,Lilia Edith APARICIO PICO,Modulo de datos (programacion almacenamiento de información ecg SD y algoritmo de determinacion de actitud) para el CUBESAT-UD- Colombia 1,2011,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
78,0000218405,Lilia Edith APARICIO PICO,"Sistema de Gestion de Salud para l Distrito Capital, Subsistema Intercambio de Servicios",2004,Colombia,Telecomunicaciones  Sociedad,Ediorial Universidad Del Cauca,17947197,,No Clasificado,No Clasificado
79,0000218405,Lilia Edith APARICIO PICO,Sistema de Informaciòn para proyectos de telemedicina,2004,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
80,0000218405,Lilia Edith APARICIO PICO,DESCRIPCION DEL MODULO DE DATOS PARA EL CUBESAT-UD Colombia 1,2010,Colombia,Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial,Oficina De Publicaciones Universidad Distrital,20117760,,No Clasificado,No Clasificado
81,0000218405,Lilia Edith APARICIO PICO,Estructura de datos XTCE en sistemas CubeSat,2020,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
82,0000218405,Lilia Edith APARICIO PICO,Métodos de compresión sin pérdidas de imágenes de resonancia magnética utilizando transformada wavelet: revisión sistemática,2021,,Eco Matematico,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,17948231,,No Clasificado,No Clasificado
83,0000218405,Lilia Edith APARICIO PICO,Técnicas de inteligencia artificial aplicadas al análisis de imágenes diagnóstico,2021,,Eco Matematico,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,17948231,,No Clasificado,No Clasificado
84,0000218405,Lilia Edith APARICIO PICO,Integration model for health services in the colombian social security system,2014,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,22487638,,No Clasificado,No Clasificado
85,0000218405,Lilia Edith APARICIO PICO,Estructura de datos XTCE en sistemas CubeSat,2020,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,23448350,,No Clasificado,No Clasificado
86,0000218405,Lilia Edith APARICIO PICO,Prestación de servicios de salud-red de urgencias y seguimiento al paciente en el modelo de salud colombiano,2016,Colombia,Ingenium,UNIVERSIDAD DE SAN BUENAVENTURA,01247492,,No Clasificado,No Clasificado
87,0000218405,Lilia Edith APARICIO PICO,Un análisis del autismo desde la perspectiva de su influencia en familias y la tecnología como facilitador en el manejo de esta condición,2016,Colombia,Logos Ciencia  Tecnología,Policia Nacional De Colombia,2145549X,,No Clasificado,No Clasificado
88,0000218405,Lilia Edith APARICIO PICO,Guía de pruebas y protocolos para el lanzamiento del satélite Colombia I,2016,Colombia,Redes De Ingenieria,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,2248762X,,No Clasificado,No Clasificado
89,0000218405,Lilia Edith APARICIO PICO,"Advances, Processes Today, Methods of Control and Automation of Greenhouses for Crops",2017,Colombia,International Journal of Applied Engineering Research,Research India Publications,09734562,,No Clasificado,No Clasificado
90,0000218405,Lilia Edith APARICIO PICO,HOME CARE THROUGH TELECARDIOGRAPHY A TECHNOLOGICAL CONTRIBUTION OF TELEMEDICINE TO HEALTH,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22496890,,No Clasificado,No Clasificado
91,0000218405,Lilia Edith APARICIO PICO,DATA ARCHITECTURE REPLICATION SERVICE - OGSA,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22496890,,No Clasificado,No Clasificado
92,0000218405,Lilia Edith APARICIO PICO,NOTES FOR THE GENEALOGICAL APPROACH TO THE TEACHING OF ENGINEERING,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22496890,,No Clasificado,No Clasificado
93,0000218405,Lilia Edith APARICIO PICO,IDENTIFICATION OF TEMPORARY MEMORY THROUGH RFID TECHNOLOGY SMART WIRELESS COMPUTING,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22496890,,No Clasificado,No Clasificado
94,0000218405,Lilia Edith APARICIO PICO,Beyond-Cmos: The near future of information,2019,,International Journal of Applied Engineering Research,Research India Publications,09734562,,No Clasificado,No Clasificado
95,0000218405,Lilia Edith APARICIO PICO,Message prototype under the standard of the hl7 ar for the service of tele-consultation and tele-diagnostic in diagnostic images oriented to radiology,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22498001,,No Clasificado,No Clasificado
96,0000218405,Lilia Edith APARICIO PICO,Message prototype for transmission of a cda with the standard hl7 for a telediagnostic and teleconsultation system,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22498001,,No Clasificado,No Clasificado
97,0000218405,Lilia Edith APARICIO PICO,Prototype for a message: ambulatory consultation based od a hl7 standard for teleconsultation,2020,Colombia,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited TJPRC,22498001,,No Clasificado,No Clasificado
98,0000218405,Lilia Edith APARICIO PICO,Evolución de la medición ambulatoria para la detección de enfermedades cardiacas,2018,Colombia,Visión Electrónica Algo Más Que Un Estado Sólido,Fondo De Publicaciones De La Universidad Distrital,19099746,,No Clasificado,No Clasificado
99,0000218405,Lilia Edith APARICIO PICO,Modelo para evaluación de la exactitud de escáner láser terrestre - TLS,2020,Colombia,Logos Ciencia  Tecnología,Policia Nacional De Colombia,24224200,,No Clasificado,No Clasificado
100,0000218405,Lilia Edith APARICIO PICO,Un análisis del autismo desde la perspectiva de su influencia en familias y la tecnología como facilitador en el manejo de esta condición,2016,Colombia,Logos Ciencia  Tecnología,Policia Nacional De Colombia,24224200,,No Clasificado,No Clasificado
101,0000218405,Lilia Edith APARICIO PICO,Consideraciones para el diseño del modulador y demodulador de la estación terrena CUBESAT-UD,2020,Colombia,Informacion Tecnologica,Vicerroctoria De Investigacion Y Extension Centro De Informacion Tecnologica,07180764,,No Clasificado,No Clasificado
102,0000218405,Lilia Edith APARICIO PICO,Integration model for health services in the colombian social security system,2014,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,22487638,,No Clasificado,No Clasificado
103,0000218405,Lilia Edith APARICIO PICO,"Compresión de imágenes, en el servicio radiológico como un componente de infraestructura en el modelo de salud colombiano",2015,Colombia,Ingenium,UNIVERSIDAD DE SAN BUENAVENTURA,01247492,,No Clasificado,No Clasificado
104,0000218405,Lilia Edith APARICIO PICO,Communications system for Colombia-1 picosatellite,2017,Brasil,INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH,,09764259,,No Clasificado,No Clasificado
105,0000218405,Lilia Edith APARICIO PICO,Current Status of Technology and Telemedicine Services in Colombia,2018,Colombia,International Journal of Applied Engineering Research,Research India Publications,09734562,,No Clasificado,No Clasificado
106,0000218405,Lilia Edith APARICIO PICO,Inclusión social de la población con limitación auditiva en la educación superior colombiana,2017,Colombia,Logos Ciencia  Tecnología,Policia Nacional De Colombia,2145549X,,No Clasificado,No Clasificado
107,0000218405,Lilia Edith APARICIO PICO,Compresión de Señales Electrocardiográficas Fetales Mediante la Transformada Wavelet Packet,2018,Brasil,Informacion Tecnologica,Vicerroctoria De Investigacion Y Extension Centro De Informacion Tecnologica,07180764,,No Clasificado,No Clasificado
108,0000218405,Lilia Edith APARICIO PICO,Setting of an earth satellite station in The District University Francisco Jose De Caldas,2018,Brasil,Far East Journal of Electronics and Communications,Pushpa Publishing House,09737006,,No Clasificado,No Clasificado
109,0000218405,Lilia Edith APARICIO PICO,Designs and implementation for CUBESAT COLOMBIA I satellite power module,2017,Brasil,INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH,,09764259,,No Clasificado,No Clasificado
110,0000218405,Lilia Edith APARICIO PICO,Development prospective for a Picosatellites laboratory,2017,Brasil,INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH,,09764259,,No Clasificado,No Clasificado
111,0000292931,Julio Barón Velandia,Optimizando la transmisión de datos IP mediante la conmutación de etiquetas multiprotocolo,2007,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
112,0000292931,Julio Barón Velandia,Conceptual framework language ¿CFL,2014,Colombia,DYNA,Instituto de Estudios Políticos y Relaciones Internacionales de la Universidad Nacional de Colombia,00127353,,Q4,No Clasificado
113,0000292931,Julio Barón Velandia,AGENTES DE SOFTWARE APLICADO A GESTIÓN DE REDES BASADA EN WEB,2013,Colombia,Redes De Ingenieria,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,2248762X,,No Clasificado,No Clasificado
114,0000292931,Julio Barón Velandia,"Monitoring, management and topological display device using wireless network managed clients",2013,Colombia,Tecciencia,,19093667,,No Clasificado,No Clasificado
115,0000292931,Julio Barón Velandia,CONSIDERACIONES DE CALIDAD DE SERVICIO PARA TRÁFICO DE VIDEO EN REDES WAN,2012,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
116,0000292931,Julio Barón Velandia,Sistema integrado de información para el régimen subsidiado de salud en Colombia.,2013,Colombia,Vínculos,Fondo De Publicaciones De La Universidad Distrital,1794211X,,No Clasificado,No Clasificado
117,0000292931,Julio Barón Velandia,Prototipo web de representación y recuperación de información de grupos de investigación mediante Topic Maps,2013,Colombia,Vínculos,Fondo De Publicaciones De La Universidad Distrital,1794211X,,No Clasificado,No Clasificado
118,0000292931,Julio Barón Velandia,Prototipo de integración de contenidos de aprendizaje con tecnologías web 2.0 implantado en Moodle como plataforma de aprendizaje.,2013,Colombia,Vínculos,Fondo De Publicaciones De La Universidad Distrital,1794211X,,No Clasificado,No Clasificado
119,0000292931,Julio Barón Velandia,Diseño y Desarrollo de un prototipo para la integración y visualización de recursos web semánticos mediante grafos conceptuales,2013,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,0123921X,,No Clasificado,No Clasificado
120,0000292931,Julio Barón Velandia,Arquitectura software para gestionar licencias ambientales en explotación petrolera,2015,Colombia,Visión Electrónica Algo Más Que Un Estado Sólido,Fondo De Publicaciones De La Universidad Distrital,19099746,,No Clasificado,No Clasificado
121,0000292931,Julio Barón Velandia,Prototipo de un controlador de tráfico para una intersección semaforizada,2015,Colombia,Visión Electrónica Algo Más Que Un Estado Sólido,Fondo De Publicaciones De La Universidad Distrital,19099746,,No Clasificado,No Clasificado
